split,model,horizon,n,qlike,residual_mse,residual_mae,final_mae,spike_qlike
test,G5,1,5060,0.24643233998216657,0.11743991811000071,0.27202795188738954,0.2720279499004952,0.8686264268250211
test,G5,5,5060,0.2722897024633632,0.12646920478237753,0.2821724695639097,0.28217247140266205,1.0993461715378194
test,G5,10,5060,0.29005638330144934,0.13001346532419672,0.2842569517801627,0.2842569521293339,1.2974139225335275
test,G5,22,5060,0.28246221645877634,0.14973396576655987,0.30817238685739157,0.3081723868611302,1.0424139861211306
validation,G0,1,22176,0.30435101380863594,0.1261747020225898,0.28104069817654986,0.281040698655412,1.1801221407809972
validation,G0,5,22176,0.3409609435168542,0.14516350560324,0.30268921907567337,0.30268921983706487,1.3423093154990149
validation,G0,10,22176,0.36180411853256433,0.16430591633322944,0.3226947044467797,0.32269470380756243,1.4458484828380371
validation,G0,22,22176,0.4207214793819559,0.18185849558525824,0.33930408918753197,0.33930408930967726,1.838370483897757
validation,G1,1,22176,0.3092093909835901,0.124179272364259,0.2781766694307981,0.27817667019788667,1.2482854483197798
validation,G1,5,22176,0.3623282219898849,0.14521317936575645,0.3026146301190817,0.30261463085982365,1.4828727753494033
validation,G1,10,22176,0.38579610466609204,0.15864677174320127,0.3162786678981746,0.31627866567729357,1.6854128266635566
validation,G1,22,22176,0.406211740448058,0.17281990055105856,0.33099973416119216,0.3309997344687904,1.8033562272931603
validation,G2,1,44352,0.31098786618486124,0.124640186572398,0.2785237729954248,0.27852377412144586,1.2541640249264914
validation,G2,5,44352,0.36385328131315364,0.1466369288724079,0.30385488151159884,0.3038548824214746,1.47792769837186
validation,G2,10,44352,0.3794998569826359,0.15904382288417027,0.31689177307231137,0.31689177143883396,1.6315038968442082
validation,G2,22,44352,0.40874053915167863,0.1733340428379636,0.33120080050516404,0.3312008006640671,1.817654336475895
validation,G5,1,44352,0.3039008140983812,0.1264703012422746,0.281322637766727,0.28132263856468265,1.206577901901569
validation,G5,5,44352,0.347856740998873,0.1417190444390035,0.29896983389300524,0.29896983519347026,1.4465648156771538
validation,G5,10,44352,0.37566475629582124,0.15798298691339133,0.3154844321530607,0.31548443093121825,1.613616006942528
validation,G5,22,44352,0.40628414068348456,0.17967917762883218,0.33712247344530366,0.3371224740753958,1.730856035304719
