model,config_id,fold_id,seed,message
G0,G0__L22__linear__mse__none,1,42,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!"
G0,G0__L22__linear__mse__none,1,123,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!"
G0,G0__L22__linear__mse__none,2,42,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!"
G0,G0__L22__linear__mse__none,2,123,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!"
G0,G0__L22__linear__mse__none,3,42,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!"
G0,G0__L22__linear__mse__none,3,123,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!"
G0,G0__L22__linear__mse__none,4,42,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!"
G0,G0__L22__linear__mse__none,4,123,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!"
G1,G1__L22__linear__mse__identity,1,42,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!"
G1,G1__L22__linear__mse__identity,1,123,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!"
G1,G1__L22__linear__mse__identity,2,42,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!"
G1,G1__L22__linear__mse__identity,2,123,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!"
G1,G1__L22__linear__mse__identity,3,42,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!"
G1,G1__L22__linear__mse__identity,3,123,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!"
G1,G1__L22__linear__mse__identity,4,42,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!"
G1,G1__L22__linear__mse__identity,4,123,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!"
G2,G2__L22__linear__mse__correlation__k2,1,42,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!"
G2,G2__L22__linear__mse__correlation__k2,1,123,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!"
G2,G2__L22__linear__mse__correlation__k2,2,42,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!"
G2,G2__L22__linear__mse__correlation__k2,2,123,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!"
G2,G2__L22__linear__mse__correlation__k2,3,42,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!"
G2,G2__L22__linear__mse__correlation__k2,3,123,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!"
G2,G2__L22__linear__mse__correlation__k2,4,42,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!"
G2,G2__L22__linear__mse__correlation__k2,4,123,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!"
G2,G2__L22__linear__mse__correlation__k3,1,42,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!"
