model,fold_id,seed,source,target,weight,config_id
G2,1,42,ADI,AVGO,0.6604902744293213,G2__L22__linear__mse__correlation__k2
G2,1,42,ADI,TXN,0.7522432208061218,G2__L22__linear__mse__correlation__k2
G2,1,42,AMAT,AVGO,0.7412924766540527,G2__L22__linear__mse__correlation__k2
G2,1,42,AMAT,LRCX,0.559829831123352,G2__L22__linear__mse__correlation__k2
G2,1,42,AMAT,TXN,0.6081163287162781,G2__L22__linear__mse__correlation__k2
G2,1,42,AMD,INTC,0.3616329729557037,G2__L22__linear__mse__correlation__k2
G2,1,42,AMD,KLAC,0.5382782220840454,G2__L22__linear__mse__correlation__k2
G2,1,42,AMD,NVDA,0.7028512358665466,G2__L22__linear__mse__correlation__k2
G2,1,42,AVGO,ADI,0.6604902744293213,G2__L22__linear__mse__correlation__k2
G2,1,42,AVGO,AMAT,0.7412924766540527,G2__L22__linear__mse__correlation__k2
G2,1,42,AVGO,KLAC,0.6489500403404236,G2__L22__linear__mse__correlation__k2
G2,1,42,AVGO,MU,0.5428246855735779,G2__L22__linear__mse__correlation__k2
G2,1,42,AVGO,QCOM,0.6507253050804138,G2__L22__linear__mse__correlation__k2
G2,1,42,AVGO,TXN,0.8020777702331543,G2__L22__linear__mse__correlation__k2
G2,1,42,INTC,AMD,0.3616329729557037,G2__L22__linear__mse__correlation__k2
G2,1,42,INTC,TXN,0.4946241974830627,G2__L22__linear__mse__correlation__k2
G2,1,42,KLAC,AMD,0.5382782220840454,G2__L22__linear__mse__correlation__k2
G2,1,42,KLAC,AVGO,0.6489500403404236,G2__L22__linear__mse__correlation__k2
G2,1,42,KLAC,NVDA,0.6811219453811646,G2__L22__linear__mse__correlation__k2
G2,1,42,LRCX,AMAT,0.559829831123352,G2__L22__linear__mse__correlation__k2
G2,1,42,LRCX,MU,0.7185970544815063,G2__L22__linear__mse__correlation__k2
G2,1,42,MU,AVGO,0.5428246855735779,G2__L22__linear__mse__correlation__k2
G2,1,42,MU,LRCX,0.7185970544815063,G2__L22__linear__mse__correlation__k2
G2,1,42,NVDA,AMD,0.7028512358665466,G2__L22__linear__mse__correlation__k2
G2,1,42,NVDA,KLAC,0.6811219453811646,G2__L22__linear__mse__correlation__k2
G2,1,42,QCOM,AVGO,0.6507253050804138,G2__L22__linear__mse__correlation__k2
G2,1,42,QCOM,TXN,0.5911638140678406,G2__L22__linear__mse__correlation__k2
G2,1,42,TXN,ADI,0.7522432208061218,G2__L22__linear__mse__correlation__k2
G2,1,42,TXN,AMAT,0.6081163287162781,G2__L22__linear__mse__correlation__k2
G2,1,42,TXN,AVGO,0.8020777702331543,G2__L22__linear__mse__correlation__k2
G2,1,42,TXN,INTC,0.4946241974830627,G2__L22__linear__mse__correlation__k2
G2,1,42,TXN,QCOM,0.5911638140678406,G2__L22__linear__mse__correlation__k2
G2,1,123,ADI,AVGO,0.6604902744293213,G2__L22__linear__mse__correlation__k2
G2,1,123,ADI,TXN,0.7522432208061218,G2__L22__linear__mse__correlation__k2
G2,1,123,AMAT,AVGO,0.7412924766540527,G2__L22__linear__mse__correlation__k2
G2,1,123,AMAT,LRCX,0.559829831123352,G2__L22__linear__mse__correlation__k2
G2,1,123,AMAT,TXN,0.6081163287162781,G2__L22__linear__mse__correlation__k2
G2,1,123,AMD,INTC,0.3616329729557037,G2__L22__linear__mse__correlation__k2
G2,1,123,AMD,KLAC,0.5382782220840454,G2__L22__linear__mse__correlation__k2
G2,1,123,AMD,NVDA,0.7028512358665466,G2__L22__linear__mse__correlation__k2
G2,1,123,AVGO,ADI,0.6604902744293213,G2__L22__linear__mse__correlation__k2
