model,source,target,selections,mean_weight,selection_frequency
G2,ADI,TXN,32,0.6744552254676819,4.0
G2,TXN,ADI,32,0.6744552254676819,4.0
G2,AMAT,LRCX,32,0.6725411862134933,4.0
G2,LRCX,AMAT,32,0.6725411862134933,4.0
G2,AVGO,TXN,32,0.6005140542984009,4.0
G2,TXN,AVGO,32,0.6005140542984009,4.0
G2,AMAT,TXN,32,0.5806248933076859,4.0
G2,TXN,AMAT,32,0.5806248933076859,4.0
G2,AMD,NVDA,32,0.580586314201355,4.0
G2,NVDA,AMD,32,0.580586314201355,4.0
G2,INTC,TXN,32,0.4416024535894394,4.0
G2,TXN,INTC,32,0.4416024535894394,4.0
G2,AMAT,KLAC,24,0.6475852330525717,3.0
G2,KLAC,AMAT,24,0.6475852330525717,3.0
G2,KLAC,LRCX,24,0.643550177415212,3.0
G2,LRCX,KLAC,24,0.643550177415212,3.0
G2,AMAT,AVGO,24,0.5609656622012457,3.0
G2,AVGO,AMAT,24,0.5609656622012457,3.0
G2,ADI,AMAT,24,0.5185534159342448,3.0
G2,AMAT,ADI,24,0.5185534159342448,3.0
G2,AMAT,QCOM,24,0.515351394812266,3.0
G2,QCOM,AMAT,24,0.515351394812266,3.0
G2,QCOM,TXN,24,0.5083829859892527,3.0
G2,TXN,QCOM,24,0.5083829859892527,3.0
G2,NVDA,TXN,24,0.4540722618500392,3.0
G2,TXN,NVDA,24,0.4540722618500392,3.0
G2,AMAT,MU,24,0.45211918155352276,3.0
G2,MU,AMAT,24,0.45211918155352276,3.0
G2,ADI,QCOM,20,0.49706588983535765,2.5
G2,QCOM,ADI,20,0.49706588983535765,2.5
G2,AVGO,LRCX,20,0.47328916788101194,2.5
G2,LRCX,AVGO,20,0.47328916788101194,2.5
G2,INTC,NVDA,20,0.3753604769706726,2.5
G2,NVDA,INTC,20,0.3753604769706726,2.5
G2,LRCX,MU,16,0.6473215520381927,2.0
G2,MU,LRCX,16,0.6473215520381927,2.0
G2,MU,TXN,16,0.4380155131220817,2.0
G2,TXN,MU,16,0.4380155131220817,2.0
G2,AMD,QCOM,16,0.3632649630308151,2.0
G2,QCOM,AMD,16,0.3632649630308151,2.0
G2,ADI,KLAC,12,0.47830984989802044,1.5
G2,KLAC,ADI,12,0.47830984989802044,1.5
G2,ADI,AMD,12,0.43826836347579956,1.5
G2,AMD,ADI,12,0.43826836347579956,1.5
G2,ADI,MU,12,0.39425715804100037,1.5
G2,MU,ADI,12,0.39425715804100037,1.5
G2,KLAC,NVDA,8,0.6811219453811646,1.0
G2,NVDA,KLAC,8,0.6811219453811646,1.0
G2,ADI,AVGO,8,0.6604902744293213,1.0
G2,AVGO,ADI,8,0.6604902744293213,1.0
G2,AVGO,QCOM,8,0.6507253050804138,1.0
G2,QCOM,AVGO,8,0.6507253050804138,1.0
G2,AVGO,KLAC,8,0.6489500403404236,1.0
G2,KLAC,AVGO,8,0.6489500403404236,1.0
G2,KLAC,QCOM,8,0.5434512197971344,1.0
G2,QCOM,KLAC,8,0.5434512197971344,1.0
G2,AVGO,MU,8,0.5428246855735779,1.0
G2,MU,AVGO,8,0.5428246855735779,1.0
G2,AMD,KLAC,8,0.5382782220840454,1.0
G2,KLAC,AMD,8,0.5382782220840454,1.0
G2,KLAC,TXN,8,0.4870758205652237,1.0
G2,TXN,KLAC,8,0.4870758205652237,1.0
G2,LRCX,TXN,8,0.4493373781442642,1.0
G2,TXN,LRCX,8,0.4493373781442642,1.0
G2,NVDA,QCOM,8,0.4154632240533829,1.0
G2,QCOM,NVDA,8,0.4154632240533829,1.0
