split,model,fold_id,seed,n,qlike,residual_mse,residual_mae,final_mae,spike_qlike
validation,G0,1,42,5544,0.37228827097536443,0.18025684819593885,0.33906717209395326,0.33906716998521386,1.265814788099284
validation,G0,1,123,5544,0.34408192460866016,0.1981755746424906,0.35627973444443284,0.35627973225897697,0.9368159528184046
validation,G0,2,42,5544,0.49171019671066624,0.17018204511362692,0.32953381666147036,0.32953381891030425,2.3491167902194245
validation,G0,2,123,5544,0.5041022601535454,0.21128470546027853,0.3697863719881145,0.3697863750987583,1.9873004361780382
validation,G0,3,42,5544,0.30787017296623026,0.11531599360807869,0.2673805838240482,0.2673805815746946,1.323379806241037
validation,G0,3,123,5544,0.3019119100864458,0.11424750413781071,0.2671427901799516,0.2671427883283056,1.328970369930051
validation,G0,4,42,5544,0.3322320542163688,0.1399333845213439,0.29685238847914175,0.29685238889629534,1.4617934809763236
validation,G0,4,123,5544,0.3247506744290611,0.1382868553832223,0.2947413900383791,0.29474139088848106,1.424258681062725
validation,G1,1,42,5544,0.368011251802693,0.17701604376841298,0.3355891542887605,0.3355891547591827,1.2776602443086493
validation,G1,1,123,5544,0.3538745918710744,0.19973202315339514,0.35823913192795975,0.35823912856210705,0.9734144884029738
validation,G1,2,42,5544,0.5000562544342891,0.17265594956944272,0.3315766450762109,0.33157664709448986,2.379513710774081
validation,G1,2,123,5544,0.5171639829560978,0.17718849278298587,0.33670898071041055,0.33670898166741814,2.4498386585859775
validation,G1,3,42,5544,0.3234180496502765,0.11845291510402074,0.2707906462669749,0.2707906441943126,1.4291504569848468
validation,G1,3,123,5544,0.3243607535536324,0.11968425476245785,0.27369729862558934,0.2736972971223994,1.4204475169101853
validation,G1,4,42,5544,0.3360927683611121,0.13762655842535926,0.29374625954201694,0.29374625926237946,1.517983440316789
validation,G1,4,123,5544,0.3313806954174951,0.13541127546759318,0.2919487907166903,0.29194879205023916,1.4873304377239562
validation,G2,1,42,11088,0.370033394378584,0.17729420014834024,0.335220128371894,0.3352201283408106,1.2918403633463686
validation,G2,1,123,11088,0.35180737408259455,0.19887956892135294,0.3571112470177226,0.35711124453365717,0.9599804921401678
validation,G2,2,42,11088,0.500114417954694,0.17293955036521313,0.33196947476585364,0.3319694764729358,2.36903280945029
validation,G2,2,123,11088,0.5174232541896878,0.18870763787783174,0.3471938256662773,0.34719382920994557,2.337720562496901
validation,G2,3,42,11088,0.3223853959728268,0.11852927255931928,0.27134394828849767,0.2713439461988804,1.414559626944812
validation,G2,3,123,11088,0.32647761561767596,0.12022740635235624,0.27411334080065103,0.274113338596549,1.429269922865089
validation,G2,4,42,11088,0.33667896890064963,0.13808424904989425,0.29392495788461137,0.29392495785784756,1.5166747997052903
validation,G2,4,123,11088,0.3340066307593006,0.13681975705276744,0.2935804103683268,0.29358041204759394,1.486838422113724
validation,G5,1,42,11088,0.34816092686348415,0.18460138666179388,0.3428720176578294,0.3428720169812226,1.1078899022603075
validation,G5,1,123,11088,0.3832558837947024,0.2070142679241294,0.36328185009405534,0.3632818498953768,1.2349282987604266
validation,G5,2,42,11088,0.5109949419461729,0.18002972700778422,0.33961393830036857,0.33961393786285177,2.387284655104311
validation,G5,2,123,11088,0.5216397877831729,0.17719134761359592,0.33471064726138827,0.3347106491891509,2.5628761583874793
validation,G5,3,42,11088,0.32822953942430955,0.12050093335013881,0.2746191054673002,0.27461910383267835,1.4341858514935788
validation,G5,3,123,11088,0.34512132020587283,0.12343532516779768,0.27534456828911963,0.27534456544624264,1.5822407247642412
validation,G5,4,42,11088,0.3264369805261699,0.1355312300501441,0.2916579798047206,0.2916579804723225,1.4454825872141066
validation,G5,4,123,11088,0.3302058304280556,0.13618008095380693,0.29219019892743653,0.29219019987108386,1.4713969182570494
