split,model,horizon,n,qlike,residual_mse,residual_mae,final_mae,spike_qlike
validation,G0,1,11088,0.3190295696602585,0.13124763853234242,0.28624538365692903,0.28624538455862675,1.2216203138734112
validation,G0,5,11088,0.3610987233197242,0.15075258343288264,0.30798182248205913,0.30798182282784975,1.3970443582316776
validation,G0,10,11088,0.3707205193456592,0.1678208286487334,0.3258032343729908,0.3258032328079617,1.4921775765547727
validation,G0,22,11088,0.43862491974752904,0.1840204049174368,0.3403616833427668,0.3403616827760768,1.945074558799811
validation,G1,1,11088,0.31891297612532465,0.1288601786131165,0.2834496866852996,0.28344968737547876,1.251542582506423
validation,G1,5,11088,0.3699978919471919,0.14716999842324194,0.30440316246859694,0.3044031627938517,1.5081622299736201
validation,G1,10,11088,0.39652004388143197,0.16301023621444966,0.3207564701497216,0.3207564681424379,1.7174473539682238
validation,G1,22,11088,0.4417482620693867,0.1798433432660258,0.3375391342736885,0.3375391340444958,2.0044196866319974
validation,G2,1,22176,0.32163884349648575,0.1296164366894654,0.283924926709993,0.2839249284107448,1.2595487203205078
validation,G2,5,22176,0.3703964137090762,0.1497734166183186,0.30674501002662663,0.3067450107842641,1.4845173653839916
validation,G2,10,22176,0.39052713897605124,0.16580734746917944,0.3238649509946967,0.3238649492354964,1.6393007147497525
validation,G2,22,22176,0.4469011297463936,0.1805436203865742,0.337693778850601,0.3376937781986048,2.0362222040752007
validation,G5,1,22176,0.31824447984235993,0.13071595090937924,0.2860856133118873,0.28608561343745925,1.2667893278554503
validation,G5,5,22176,0.36374045053316495,0.14592953587635646,0.30331948959923066,0.30331949030639116,1.53724180434065
validation,G5,10,22176,0.41871717871886055,0.16164124098208665,0.3177585853188299,0.31775858330649215,1.9234351275128827
validation,G5,22,22176,0.44632049639158466,0.19395542159677315,0.3499814646711614,0.34998146472512215,1.8924714433442056
