ticker,observations,filing_versions,filing_changes,filing_repeat_rate
AAPL,1304,40,40,0.9693251533742331
ABBV,1304,93,93,0.928680981595092
ABT,1304,66,66,0.9493865030674846
ACN,1304,48,48,0.9631901840490797
ADBE,1304,60,60,0.9539877300613497
ADI,1304,67,67,0.9486196319018405
AMAT,1304,63,63,0.9516871165644172
AMD,1304,79,79,0.9394171779141104
AMGN,1304,71,71,0.9455521472392638
AMZN,1304,53,53,0.9593558282208589
ANET,1304,37,37,0.9716257668711656
APH,1304,72,72,0.9447852760736196
AVGO,1304,85,85,0.9348159509202454
AXP,1304,120,120,0.9079754601226994
BA,1304,76,76,0.941717791411043
BABA,1304,91,91,0.9302147239263804
BAC,1304,76,76,0.941717791411043
BKNG,1304,58,58,0.9555214723926381
BLK,1304,1,1,0.9992331288343558
BN,1304,181,181,0.8611963190184049
BRK,1304,50,50,0.9616564417177914
BSX,1304,97,97,0.9256134969325154
BX,1304,64,64,0.950920245398773
C,1303,98,98,0.9247889485801996
CAT,1304,83,83,0.9363496932515337
CB,1304,61,61,0.9532208588957055
COF,1304,164,164,0.8742331288343559
COP,1303,59,59,0.9547198772064467
COST,1304,72,72,0.9447852760736196
CRM,1304,71,71,0.9455521472392638
CSCO,1304,77,77,0.9409509202453987
CVX,1304,77,77,0.9409509202453987
DE,1304,85,85,0.9348159509202454
DHR,1304,71,71,0.9455521472392638
DIS,1304,75,75,0.9424846625766872
ETN,1304,51,51,0.9608895705521472
GE,1304,86,86,0.9340490797546013
GILD,1304,65,65,0.9501533742331288
GOOGL,1304,53,53,0.9593558282208589
GS,1304,106,106,0.9187116564417178
HD,1304,75,75,0.9424846625766872
HON,1304,69,69,0.9470858895705522
IBKR,1304,61,61,0.9532208588957055
IBM,1304,113,113,0.9133435582822086
INTC,1304,68,68,0.9478527607361963
INTU,1304,50,50,0.9616564417177914
ISRG,1304,56,56,0.9570552147239264
JNJ,1303,75,75,0.9424405218726017
JPM,1303,126,126,0.9033000767459708
KKR,1304,97,97,0.9256134969325154
KLAC,1304,67,67,0.9486196319018405
KO,1304,78,78,0.9401840490797546
LIN,1304,53,53,0.9593558282208589
LLY,1304,59,59,0.9547546012269938
LMT,1304,58,58,0.9555214723926381
LOW,1304,67,67,0.9486196319018405
LRCX,1304,67,67,0.9486196319018405
MA,1304,58,58,0.9555214723926381
MCD,1304,74,74,0.9432515337423313
MDT,1304,71,71,0.9455521472392638
META,1304,60,60,0.9539877300613497
MRK,1304,57,57,0.9562883435582822
MS,1304,69,69,0.9470858895705522
MSFT,1304,51,51,0.9608895705521472
MU,1304,82,82,0.9371165644171779
NEE,1304,100,100,0.9233128834355828
NEM,1303,89,89,0.9316960859554874
NFLX,1304,66,66,0.9493865030674846
NOW,1304,45,45,0.9654907975460123
NVDA,1304,59,59,0.9547546012269938
ORCL,1304,60,60,0.9539877300613497
PANW,1304,60,60,0.9539877300613497
PDD,1304,48,48,0.9631901840490797
PEP,1304,56,56,0.9570552147239264
PFE,1302,79,79,0.9393241167434716
PG,1304,77,77,0.9409509202453987
PGR,1304,91,91,0.9302147239263804
PLD,1304,93,93,0.928680981595092
PM,1303,130,130,0.9002302379125096
QCOM,1304,43,43,0.9670245398773006
RTX,1304,70,70,0.946319018404908
SCCO,1304,51,51,0.9608895705521472
SCHW,1304,82,82,0.9371165644171779
SHOP,1304,66,66,0.9493865030674846
SPGI,1304,90,90,0.9309815950920245
SYK,1304,67,67,0.9486196319018405
T,1303,114,114,0.9125095932463546
TJX,1304,62,62,0.9524539877300613
TMO,1304,84,84,0.9355828220858896
TMUS,1304,106,106,0.9187116564417178
TSLA,1304,96,96,0.9263803680981595
TXN,1304,58,58,0.9555214723926381
UNH,1304,88,88,0.9325153374233128
UNP,1303,90,90,0.930928626247122
V,1304,89,89,0.9317484662576687
VZ,1304,87,87,0.933282208588957
WELL,1304,82,82,0.9371165644171779
WFC,1304,273,273,0.790644171779141
WMT,1304,78,78,0.9401840490797546
XOM,1304,92,92,0.9294478527607362
