hierarchy,category,unique_text_count
filing,filing_financialStatement,7684
filing,filing_governanceRisks,7684
filing,filing_overviewProduct,7284
filing,filing_recentEventCatalyst,7681
filing,filing_strategyMarketOps,7410
macro,macro_category1,1295
macro,macro_category2,1295
macro,macro_category3,1294
macro,macro_category4,1293
macro,macro_category5,1289
related_company,relatedCompany_category1,129482
related_company,relatedCompany_category2,129477
related_company,relatedCompany_category3,128634
sector,sector_category1,13596
sector,sector_category2,13465
sector,sector_category3,13078
sector,sector_category4,12135
sector,sector_category5,10848
target_company,targetCompany_category1,52468
target_company,targetCompany_category2,29958
target_company,targetCompany_category3,17169
