ticker,first_date,last_date,observations,missing_dates
AAPL,2019-01-01,2023-12-29,1304,0
ABBV,2019-01-01,2023-12-29,1304,0
ABT,2019-01-01,2023-12-29,1304,0
ACN,2019-01-01,2023-12-29,1304,0
ADBE,2019-01-01,2023-12-29,1304,0
ADI,2019-01-01,2023-12-29,1304,0
AMAT,2019-01-01,2023-12-29,1304,0
AMD,2019-01-01,2023-12-29,1304,0
AMGN,2019-01-01,2023-12-29,1304,0
AMZN,2019-01-01,2023-12-29,1304,0
ANET,2019-01-01,2023-12-29,1304,0
APH,2019-01-01,2023-12-29,1304,0
AVGO,2019-01-01,2023-12-29,1304,0
AXP,2019-01-01,2023-12-29,1304,0
BA,2019-01-01,2023-12-29,1304,0
BABA,2019-01-01,2023-12-29,1304,0
BAC,2019-01-01,2023-12-29,1304,0
BKNG,2019-01-01,2023-12-29,1304,0
BLK,2019-01-01,2023-12-29,1304,0
BN,2019-01-01,2023-12-29,1304,0
BRK,2019-01-01,2023-12-29,1304,0
BSX,2019-01-01,2023-12-29,1304,0
BX,2019-01-01,2023-12-29,1304,0
C,2019-01-01,2023-12-29,1303,1
CAT,2019-01-01,2023-12-29,1304,0
CB,2019-01-01,2023-12-29,1304,0
COF,2019-01-01,2023-12-29,1304,0
COP,2019-01-01,2023-12-29,1303,1
COST,2019-01-01,2023-12-29,1304,0
CRM,2019-01-01,2023-12-29,1304,0
CSCO,2019-01-01,2023-12-29,1304,0
CVX,2019-01-01,2023-12-29,1304,0
DE,2019-01-01,2023-12-29,1304,0
DHR,2019-01-01,2023-12-29,1304,0
DIS,2019-01-01,2023-12-29,1304,0
ETN,2019-01-01,2023-12-29,1304,0
GE,2019-01-01,2023-12-29,1304,0
GILD,2019-01-01,2023-12-29,1304,0
GOOGL,2019-01-01,2023-12-29,1304,0
GS,2019-01-01,2023-12-29,1304,0
HD,2019-01-01,2023-12-29,1304,0
HON,2019-01-01,2023-12-29,1304,0
IBKR,2019-01-01,2023-12-29,1304,0
IBM,2019-01-01,2023-12-29,1304,0
INTC,2019-01-01,2023-12-29,1304,0
INTU,2019-01-01,2023-12-29,1304,0
ISRG,2019-01-01,2023-12-29,1304,0
JNJ,2019-01-01,2023-12-29,1303,1
JPM,2019-01-01,2023-12-29,1303,1
KKR,2019-01-01,2023-12-29,1304,0
KLAC,2019-01-01,2023-12-29,1304,0
KO,2019-01-01,2023-12-29,1304,0
LIN,2019-01-01,2023-12-29,1304,0
LLY,2019-01-01,2023-12-29,1304,0
LMT,2019-01-01,2023-12-29,1304,0
LOW,2019-01-01,2023-12-29,1304,0
LRCX,2019-01-01,2023-12-29,1304,0
MA,2019-01-01,2023-12-29,1304,0
MCD,2019-01-01,2023-12-29,1304,0
MDT,2019-01-01,2023-12-29,1304,0
META,2019-01-01,2023-12-29,1304,0
MRK,2019-01-01,2023-12-29,1304,0
MS,2019-01-01,2023-12-29,1304,0
MSFT,2019-01-01,2023-12-29,1304,0
MU,2019-01-01,2023-12-29,1304,0
NEE,2019-01-01,2023-12-29,1304,0
NEM,2019-01-01,2023-12-29,1303,1
NFLX,2019-01-01,2023-12-29,1304,0
NOW,2019-01-01,2023-12-29,1304,0
NVDA,2019-01-01,2023-12-29,1304,0
ORCL,2019-01-01,2023-12-29,1304,0
PANW,2019-01-01,2023-12-29,1304,0
PDD,2019-01-01,2023-12-29,1304,0
PEP,2019-01-01,2023-12-29,1304,0
PFE,2019-01-01,2023-12-29,1302,2
PG,2019-01-01,2023-12-29,1304,0
PGR,2019-01-01,2023-12-29,1304,0
PLD,2019-01-01,2023-12-29,1304,0
PM,2019-01-01,2023-12-29,1303,1
QCOM,2019-01-01,2023-12-29,1304,0
RTX,2019-01-01,2023-12-29,1304,0
SCCO,2019-01-01,2023-12-29,1304,0
SCHW,2019-01-01,2023-12-29,1304,0
SHOP,2019-01-01,2023-12-29,1304,0
SPGI,2019-01-01,2023-12-29,1304,0
SYK,2019-01-01,2023-12-29,1304,0
T,2019-01-01,2023-12-29,1303,1
TJX,2019-01-01,2023-12-29,1304,0
TMO,2019-01-01,2023-12-29,1304,0
TMUS,2019-01-01,2023-12-29,1304,0
TSLA,2019-01-01,2023-12-29,1304,0
TXN,2019-01-01,2023-12-29,1304,0
UNH,2019-01-01,2023-12-29,1304,0
UNP,2019-01-01,2023-12-29,1303,1
V,2019-01-01,2023-12-29,1304,0
VZ,2019-01-01,2023-12-29,1304,0
WELL,2019-01-01,2023-12-29,1304,0
WFC,2019-01-01,2023-12-29,1304,0
WMT,2019-01-01,2023-12-29,1304,0
XOM,2019-01-01,2023-12-29,1304,0
