sector_name,number_of_tickers,number_of_usable_tickers,first_date,last_date,median_number_of_observations,news_coverage_macro,news_coverage_sector,news_coverage_company,eligible_for_sector_graph
Communication Services,7,7,2019-01-01,2023-12-29,1304.0,0.993097402811418,0.90949928130526,0.7172212813012242,True
Consumer Discretionary,9,9,2019-01-01,2023-12-29,1304.0,0.9930981595092025,0.9907975460122701,0.45560668029993184,True
Consumer Staples,6,6,2019-01-01,2023-12-29,1304.0,0.9930972766951207,0.8857215808414435,0.533534673798235,True
Energy,3,3,2019-01-01,2023-12-29,1304.0,0.993096393881039,0.9884939898017318,0.44382477435272066,True
Financials,18,18,2019-01-01,2023-12-29,1304.0,0.9930975709664813,0.9869620784922426,0.3421485916041896,True
Health Care,15,15,2019-01-01,2023-12-29,1304.0,0.9930970995898687,0.9877281770486555,0.37801154845338003,True
Industrials,9,9,2019-01-01,2023-12-29,1304.0,0.9930975709664813,0.9670217279509663,0.34451760684404564,True
Information Technology,24,24,2019-01-01,2023-12-29,1304.0,0.9930981595092024,0.9877300613496932,0.38142254601226994,True
Materials,2,2,2019-01-01,2023-12-29,1303.5,0.9930955110669573,0.9777522023268626,0.1783990696316664,True
Real Estate,2,2,2019-01-01,2023-12-29,1304.0,0.9930981595092024,0.8811349693251533,0.1683282208588957,True
UNRESOLVED,4,0,2019-01-01,2023-12-29,1304.0,0.9930981595092024,0.9848542944785276,0.34279141104294475,False
Utilities,1,1,2019-01-01,2023-12-29,1304.0,0.9930981595092024,0.8634969325153374,0.4378834355828221,False
