model,horizon,n,qlike,mse,rmse,mae,pearson,spearman,qlike_spike_days,qlike_normal_days,pred_exp_clip_count,training_time_sec,inference_time_sec
B0_GlobalMean,1,2761,0.32861355048986984,0.1657989748570007,0.40718420261228294,0.326425400863969,,,2.543613691314834,0.241047656368401,0,0.00011929997708648443,0.0
B0_GlobalMean,5,2717,0.32993627629582734,0.16588059584027678,0.4072844163975302,0.32640707356673265,,,2.540149107198414,0.2410877513169714,0,0.0001379000023007393,0.0
B0_GlobalMean,10,2662,0.33005474813281394,0.16728702908791582,0.40900737045671415,0.3277705743083423,,,2.5687626487616173,0.24267348737446875,0,0.00010710000060498714,0.0
B0_GlobalMean,22,2530,0.32253128047235896,0.16820914822332142,0.41013308598956194,0.3289103223368415,,,2.601359185650155,0.24427226819315426,0,0.00010369997471570969,0.0
B0_TickerMean,1,2761,0.2968326118018191,0.14712563591238303,0.3835695972211341,0.3052221485473161,0.3598768310686792,0.35349942720549943,2.1589289942277654,0.22321810873151618,0,0.0012718000216409564,0.0
B0_TickerMean,5,2717,0.29847372683608975,0.14752574196105483,0.38409079911012556,0.30563625953088497,0.3569904353315466,0.35024486735989824,2.1563516979777195,0.22378873948162148,0,0.002773099986370653,0.0
B0_TickerMean,10,2662,0.2987920805137139,0.14873707085292928,0.38566445370675434,0.3068635767097179,0.3577394105261819,0.3507448091993121,2.194108473474261,0.22481407922719768,0,0.0016971000004559755,0.0
B0_TickerMean,22,2530,0.2925428020981937,0.15002642876276812,0.38733245250400605,0.30852176740294496,0.3583827302320143,0.34919320806163323,2.2208852085726867,0.22632008658557826,0,0.0022933000000193715,0.0
B1_LastValue,1,2761,0.45211796175305763,0.18222116556841209,0.42687371149839165,0.3372947558457731,0.4112088011223378,0.39207202333679897,1.4536755452464696,0.4125232530682653,0,0.0,0.0
B1_LastValue,5,2717,0.5193689210443894,0.20636840864295375,0.45427789803484137,0.36317625919495344,0.32458221947708654,0.3183441695044193,2.9121371246258696,0.4231818378223161,0,0.0,0.0
B1_LastValue,10,2662,0.5975239101719083,0.23445363297936034,0.48420412325728945,0.38037484406267963,0.23297257792092485,0.24156417554248238,4.074428661744478,0.46181334219483694,0,0.0,0.0
B1_LastValue,22,2530,0.5692455618739917,0.23828848931428478,0.4881480198815568,0.3859593439706534,0.21621502969582312,0.2260201158205157,3.365322576802085,0.47322329316836614,0,0.0,0.0
B2_AR,1,2761,0.2585913806255698,0.1163993196009352,0.34117344504069363,0.27131995360257044,0.5113084292284651,0.5017801561206492,1.6771266923233714,0.20251223614956482,0,0.0011224727336825295,0.31648588459938765
B2_AR,5,2717,0.29300061028885804,0.12785846644910923,0.3575730225410038,0.28333315255183356,0.4425931376269246,0.4423686555958888,2.440152294558731,0.20668708546177658,0,0.0013184090864590623,0.385295286483597
B2_AR,10,2662,0.3030329579613495,0.13454480023171858,0.36680348993939327,0.28970051694876053,0.4081250739125544,0.41025384394345477,2.626522224668475,0.21234251039276533,0,0.002088027270722457,0.5323274106485769
B2_AR,22,2530,0.27911387729172993,0.1374916935088231,0.3707987237152025,0.2942807665636469,0.40661740291594045,0.4042475042985536,2.2423858868618844,0.21169161694672056,0,0.002170181801457974,0.44070300878956914
B3_HAR_OLS,1,2761,0.25509296214357613,0.11487199314005692,0.3389277107880926,0.26966984174238434,0.5180948058820212,0.50605425280634,1.6471289988439992,0.2000614170179946,0,0.000988699998494915,0.28837391891283914
B3_HAR_OLS,5,2717,0.2882574653391257,0.12609781508638304,0.35510254165013105,0.2815152949694575,0.4517095709812453,0.44766870824500904,2.3528640291349996,0.20526217850965908,0,0.0013847363615323875,0.3663010000018403
B3_HAR_OLS,10,2662,0.3010070458853472,0.13433870843241746,0.36652245283531737,0.28855538085356053,0.4074321877030306,0.40906874208809263,2.593210784749428,0.21153773523491473,0,0.0015980818213640966,0.4889126040507108
B3_HAR_OLS,22,2530,0.2807497116403211,0.13699414654717557,0.3701272031980027,0.2935227126910876,0.40825235819665023,0.4052570375502508,2.311795944295558,0.2109999636668788,0,0.0015042909124696796,0.43759799853432924
B4_HAR_Ridge,1,2761,0.254904444513105,0.11479894110168036,0.3388199242985577,0.2696360936971625,0.5179116538799826,0.5056954720641483,1.655477332735439,0.1995354109049179,0,0.001146509095137431,0.28468422003788874
B4_HAR_Ridge,5,2717,0.28732066791701977,0.1257752078699587,0.3546480055914014,0.2811237294620168,0.4531992120420748,0.448851272682243,2.3463167291431506,0.2045509181357243,0,0.0016233545611612499,0.3781076180166565
B4_HAR_Ridge,10,2662,0.3005828292374218,0.13434920732009872,0.36653677485362735,0.2885712947895654,0.4075681905260734,0.4087796586583228,2.591145825096938,0.21117756007819008,0,0.001642690902702849,0.4093188459519297
B4_HAR_Ridge,22,2530,0.2803673477891711,0.1370268617620105,0.3701713951158443,0.2935679803416882,0.40827061546531423,0.4050867510672062,2.2998777475735337,0.21101376087916027,0,0.0017019363638775592,0.412159978877753
B5_GARCH_Family,1,2761,0.47894618949420287,0.37341047429450414,0.611073215166975,0.5220759569653819,0.36761096666747006,0.37843043308692415,0.5132413107616053,0.4775903959200021,0,0.023056218173058533,2.469639231043402
B5_GARCH_Family,5,2717,0.4864900942434476,0.3807661647720706,0.6170625290617399,0.5278132550641172,0.36106422965388235,0.36727110366964,0.5023146067128141,0.48585396338231307,0,0.025037272727455605,3.434337384067476
B5_GARCH_Family,10,2662,0.49578339588539955,0.38904434879970906,0.6237341972344542,0.5346455133784325,0.3700945154448916,0.3724309712208125,0.5151457429699502,0.49502764463307514,0,0.029529418198349464,3.73783517931588
