ticker,company_name,sector_code,sector_name,industry_code,industry_name,classification_system,source,effective_date,retrieval_date,mapping_confidence,mapping_note
AAPL,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
ABBV,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
ABT,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
ACN,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
ADBE,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
ADI,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
AMAT,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
AMD,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
AMGN,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
AMZN,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
ANET,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
APH,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
AVGO,,,UNRESOLVED,,UNRESOLVED,unresolved,not supplied; external verification required,,2026-07-19,unresolved,FinTexTS has no native ticker-sector label; no inference from sector news
